"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2018","EQ","3,692.00","3,692.00","3,634.15","3,668.85","3,650.00","3,643.80","3,666.57","3,692.00","1,830.35","1,80,738","66,26,89,108.00","10,296"
"29-Dec-2017","EQ","3,654.00","3,688.00","3,630.80","3,624.30","3,673.10","3,668.85","3,656.12","3,688.00","1,819.95","2,59,427","94,84,97,332.00","20,751"
"28-Dec-2017","EQ","3,605.00","3,652.40","3,591.05","3,579.85","3,630.05","3,624.30","3,623.41","3,652.40","1,819.95","10,83,686","3,92,66,33,723.80","24,633"
"27-Dec-2017","EQ","3,585.00","3,619.90","3,553.00","3,574.80","3,584.00","3,579.85","3,590.74","3,619.90","1,819.95","3,31,483","1,19,02,69,666.65","18,180"
"26-Dec-2017","EQ","3,590.00","3,590.00","3,543.00","3,554.40","3,567.00","3,574.80","3,566.58","3,590.00","1,819.95","2,80,741","1,00,12,85,781.20","20,179"
"22-Dec-2017","EQ","3,553.00","3,589.00","3,530.10","3,543.95","3,545.25","3,554.40","3,564.57","3,589.00","1,819.95","4,02,661","1,43,53,11,934.30","26,478"
"21-Dec-2017","EQ","3,527.05","3,568.55","3,505.00","3,509.50","3,530.00","3,543.95","3,541.83","3,568.55","1,819.95","4,02,513","1,42,56,31,691.45","25,690"
"20-Dec-2017","EQ","3,489.00","3,529.00","3,429.50","3,485.05","3,527.00","3,509.50","3,470.17","3,529.00","1,819.95","4,21,292","1,46,19,54,625.40","20,356"
"19-Dec-2017","EQ","3,429.00","3,495.00","3,420.55","3,405.85","3,480.00","3,485.05","3,467.63","3,495.00","1,819.95","6,01,804","2,08,68,31,114.20","38,000"
"18-Dec-2017","EQ","3,347.00","3,429.10","3,281.05","3,359.70","3,414.90","3,405.85","3,388.09","3,473.80","1,819.95","2,73,492","92,66,14,605.45","16,470"
"15-Dec-2017","EQ","3,390.00","3,425.00","3,345.70","3,352.15","3,356.00","3,359.70","3,377.07","3,473.80","1,819.95","3,44,735","1,16,41,93,900.75","24,225"
"14-Dec-2017","EQ","3,374.95","3,390.00","3,308.30","3,355.75","3,367.80","3,352.15","3,351.81","3,473.80","1,819.95","3,10,545","1,04,08,87,460.05","23,463"
"13-Dec-2017","EQ","3,402.15","3,433.00","3,339.95","3,392.15","3,349.10","3,355.75","3,391.15","3,473.80","1,819.95","2,75,125","93,29,91,053.25","17,957"
"12-Dec-2017","EQ","3,456.00","3,473.80","3,376.00","3,458.70","3,392.15","3,392.15","3,427.28","3,473.80","1,819.95","3,05,263","1,04,62,21,481.40","15,836"
"11-Dec-2017","EQ","3,439.00","3,469.90","3,401.50","3,420.90","3,463.00","3,458.70","3,442.72","3,469.90","1,819.95","4,03,296","1,38,84,33,518.30","27,233"
"08-Dec-2017","EQ","3,394.00","3,466.90","3,366.05","3,363.65","3,412.10","3,420.90","3,421.70","3,466.90","1,819.95","5,60,621","1,91,82,77,434.35","28,511"
"07-Dec-2017","EQ","3,352.00","3,405.50","3,320.10","3,359.65","3,363.00","3,363.65","3,372.71","3,432.95","1,819.95","4,47,848","1,51,04,59,652.30","26,422"
"06-Dec-2017","EQ","3,396.00","3,432.95","3,338.15","3,396.75","3,350.30","3,359.65","3,383.59","3,432.95","1,819.95","5,43,297","1,83,82,92,213.20","45,616"
"05-Dec-2017","EQ","3,344.55","3,420.75","3,261.00","3,310.40","3,399.50","3,396.75","3,338.03","3,420.75","1,819.95","4,45,072","1,48,56,61,706.95","26,346"
"04-Dec-2017","EQ","3,224.00","3,344.45","3,171.00","3,211.40","3,344.45","3,310.40","3,272.17","3,403.20","1,819.95","3,91,912","1,28,24,01,392.85","23,635"
"01-Dec-2017","EQ","3,308.00","3,333.50","3,180.00","3,284.65","3,182.05","3,211.40","3,274.86","3,403.20","1,819.95","3,88,229","1,27,13,96,136.65","29,167"
"30-Nov-2017","EQ","3,359.00","3,362.95","3,272.55","3,368.75","3,298.00","3,284.65","3,308.81","3,403.20","1,819.95","5,47,096","1,81,02,38,819.85","42,359"
"29-Nov-2017","EQ","3,388.50","3,403.20","3,347.35","3,375.30","3,355.00","3,368.75","3,375.17","3,403.20","1,819.95","3,90,450","1,31,78,36,824.20","25,472"
"28-Nov-2017","EQ","3,315.40","3,396.70","3,287.00","3,313.35","3,375.00","3,375.30","3,351.23","3,396.70","1,819.95","6,53,213","2,18,90,68,083.15","37,554"
"27-Nov-2017","EQ","3,250.00","3,333.50","3,250.00","3,261.65","3,307.90","3,313.35","3,309.66","3,333.50","1,819.95","6,11,420","2,02,35,92,784.85","36,894"
"24-Nov-2017","EQ","3,275.00","3,295.65","3,242.50","3,267.25","3,255.85","3,261.65","3,268.66","3,330.00","1,773.45","2,26,271","73,96,03,216.45","15,160"
"23-Nov-2017","EQ","3,309.00","3,311.75","3,230.00","3,299.60","3,266.00","3,267.25","3,270.53","3,330.00","1,773.45","3,75,472","1,22,79,92,895.40","21,581"
"22-Nov-2017","EQ","3,236.00","3,330.00","3,201.05","3,201.75","3,297.65","3,299.60","3,278.02","3,330.00","1,773.45","6,85,429","2,24,68,52,914.55","39,067"
"21-Nov-2017","EQ","3,269.00","3,275.05","3,191.20","3,244.80","3,193.10","3,201.75","3,226.74","3,275.05","1,773.45","2,92,862","94,49,88,112.85","22,184"
"20-Nov-2017","EQ","3,187.00","3,263.00","3,170.00","3,185.55","3,253.00","3,244.80","3,219.18","3,263.00","1,773.45","3,62,070","1,16,55,69,387.05","19,795"
"17-Nov-2017","EQ","3,160.00","3,225.00","3,134.00","3,117.35","3,192.00","3,185.55","3,184.37","3,225.00","1,773.45","5,74,569","1,82,96,41,134.05","29,282"
"16-Nov-2017","EQ","2,980.20","3,134.00","2,980.20","2,979.30","3,124.25","3,117.35","3,075.80","3,180.60","1,773.45","6,63,548","2,04,09,37,959.20","37,322"
"15-Nov-2017","EQ","2,990.00","3,033.90","2,970.80","3,018.60","2,977.65","2,979.30","3,000.60","3,180.60","1,773.45","2,27,635","68,30,42,206.60","18,373"
"14-Nov-2017","EQ","2,990.00","3,045.00","2,975.10","2,996.85","3,018.45","3,018.60","3,013.34","3,180.60","1,773.45","4,84,069","1,45,86,63,518.40","25,691"
"13-Nov-2017","EQ","3,044.80","3,053.00","2,980.30","3,031.60","2,991.95","2,996.85","3,013.40","3,180.60","1,773.45","2,42,191","72,98,19,241.55","12,967"
"10-Nov-2017","EQ","3,112.00","3,121.05","3,010.05","3,116.85","3,029.90","3,031.60","3,069.46","3,180.60","1,773.45","3,97,497","1,22,01,02,661.15","24,336"
"09-Nov-2017","EQ","3,089.00","3,139.30","3,006.35","3,053.10","3,110.00","3,116.85","3,079.64","3,180.60","1,773.45","4,18,212","1,28,79,41,325.95","25,571"
"08-Nov-2017","EQ","3,069.85","3,109.90","3,035.10","3,058.80","3,071.00","3,053.10","3,073.88","3,180.60","1,773.45","3,14,839","96,77,78,097.35","15,971"
"07-Nov-2017","EQ","3,114.80","3,156.00","3,020.80","3,101.00","3,050.30","3,058.80","3,094.74","3,180.60","1,773.45","4,14,400","1,28,24,58,361.50","23,560"
"06-Nov-2017","EQ","3,103.00","3,180.60","3,071.00","3,100.75","3,100.00","3,101.00","3,133.32","3,180.60","1,773.45","4,28,505","1,34,26,42,036.35","24,725"
"03-Nov-2017","EQ","3,122.10","3,124.40","3,085.85","3,105.35","3,100.00","3,100.75","3,101.39","3,176.70","1,773.45","2,90,554","90,11,22,530.20","20,498"
"02-Nov-2017","EQ","3,055.75","3,160.00","3,049.65","3,055.75","3,105.35","3,105.35","3,111.30","3,176.70","1,773.45","4,73,302","1,47,25,83,206.45","30,984"
"01-Nov-2017","EQ","3,055.00","3,094.00","3,040.00","3,051.35","3,055.00","3,055.75","3,065.07","3,176.70","1,773.45","3,96,939","1,21,66,45,541.05","26,633"
"31-Oct-2017","EQ","3,079.00","3,094.30","3,027.30","3,075.70","3,050.00","3,051.35","3,056.30","3,176.70","1,773.45","8,65,974","2,64,66,77,529.55","37,808"
"30-Oct-2017","EQ","3,060.00","3,124.00","2,969.10","3,025.75","3,073.00","3,075.70","3,061.87","3,176.70","1,773.45","18,75,710","5,74,31,75,472.05","91,484"
"27-Oct-2017","EQ","2,724.00","3,176.70","2,710.10","2,574.65","3,036.75","3,025.75","2,990.42","3,176.70","1,773.45","60,23,916","18,01,40,51,721.65","2,54,223"
"26-Oct-2017","EQ","2,545.00","2,600.00","2,500.00","2,538.70","2,592.50","2,574.65","2,559.79","2,774.00","1,773.45","6,29,322","1,61,09,29,450.50","28,194"
"25-Oct-2017","EQ","2,538.00","2,563.45","2,476.05","2,513.25","2,537.35","2,538.70","2,523.56","2,774.00","1,773.45","4,21,027","1,06,24,88,406.80","16,946"
"24-Oct-2017","EQ","2,514.00","2,543.90","2,481.20","2,501.50","2,511.00","2,513.25","2,512.48","2,774.00","1,773.45","3,11,286","78,20,98,340.60","16,489"
"23-Oct-2017","EQ","2,456.00","2,514.10","2,456.00","2,469.10","2,504.40","2,501.50","2,490.73","2,774.00","1,773.45","2,57,241","64,07,18,593.85","20,407"
"19-Oct-2017","EQ","2,515.00","2,516.90","2,449.80","2,503.15","2,454.00","2,469.10","2,484.07","2,774.00","1,773.45","49,735","12,35,45,102.75","2,688"
"18-Oct-2017","EQ","2,513.45","2,538.00","2,490.35","2,490.70","2,506.00","2,503.15","2,516.34","2,774.00","1,773.45","3,17,182","79,81,37,621.00","13,227"
"17-Oct-2017","EQ","2,424.00","2,503.00","2,414.80","2,419.25","2,502.60","2,490.70","2,463.59","2,774.00","1,773.45","4,06,220","1,00,07,57,921.80","17,154"
"16-Oct-2017","EQ","2,456.40","2,456.80","2,402.80","2,437.55","2,424.00","2,419.25","2,421.53","2,774.00","1,773.45","1,92,174","46,53,55,443.25","18,911"
"13-Oct-2017","EQ","2,463.00","2,464.65","2,418.50","2,441.55","2,426.00","2,437.55","2,438.88","2,774.00","1,773.45","1,64,451","40,10,75,902.80","10,459"
"12-Oct-2017","EQ","2,418.70","2,478.00","2,413.90","2,402.10","2,440.30","2,441.55","2,446.34","2,774.00","1,773.45","5,47,202","1,33,86,40,057.95","18,491"
"11-Oct-2017","EQ","2,389.40","2,415.95","2,380.00","2,369.20","2,411.00","2,402.10","2,400.43","2,774.00","1,773.45","2,90,119","69,64,10,168.10","14,883"
"10-Oct-2017","EQ","2,380.00","2,402.00","2,354.10","2,352.40","2,373.40","2,369.20","2,378.72","2,774.00","1,773.45","2,46,691","58,68,08,654.85","17,670"
"09-Oct-2017","EQ","2,370.00","2,373.05","2,340.05","2,361.20","2,355.00","2,352.40","2,352.42","2,774.00","1,773.45","1,94,913","45,85,17,846.75","10,225"
"06-Oct-2017","EQ","2,408.80","2,411.60","2,355.00","2,395.75","2,357.65","2,361.20","2,376.93","2,774.00","1,773.45","3,74,178","88,93,96,494.85","18,769"
"05-Oct-2017","EQ","2,390.00","2,419.90","2,387.05","2,398.95","2,393.00","2,395.75","2,402.68","2,774.00","1,773.45","1,46,662","35,23,82,038.15","9,433"
"04-Oct-2017","EQ","2,453.00","2,470.00","2,390.60","2,452.15","2,405.00","2,398.95","2,418.08","2,774.00","1,773.45","2,69,269","65,11,13,601.05","12,645"
"03-Oct-2017","EQ","2,434.40","2,467.40","2,402.30","2,397.65","2,456.00","2,452.15","2,440.92","2,774.00","1,773.45","2,45,097","59,82,60,998.20","21,775"
"29-Sep-2017","EQ","2,410.00","2,447.90","2,390.00","2,402.05","2,400.00","2,397.65","2,413.69","2,774.00","1,773.45","2,66,356","64,29,01,604.80","14,164"
"28-Sep-2017","EQ","2,414.70","2,425.00","2,390.00","2,404.90","2,410.00","2,402.05","2,404.97","2,774.00","1,773.45","2,24,000","53,87,12,720.75","13,301"
"27-Sep-2017","EQ","2,480.00","2,485.05","2,400.00","2,466.40","2,406.00","2,404.90","2,424.74","2,774.00","1,773.45","2,14,838","52,09,25,789.00","15,120"
"26-Sep-2017","EQ","2,454.00","2,484.40","2,417.65","2,445.60","2,460.05","2,466.40","2,454.41","2,774.00","1,773.45","2,10,717","51,71,85,234.30","10,990"
"25-Sep-2017","EQ","2,477.95","2,498.35","2,420.00","2,465.60","2,449.00","2,445.60","2,454.84","2,774.00","1,773.45","3,49,057","85,68,77,592.00","21,080"
"22-Sep-2017","EQ","2,540.00","2,560.80","2,455.10","2,563.75","2,474.00","2,465.60","2,494.93","2,774.00","1,773.45","2,73,443","68,22,21,472.85","17,570"
"21-Sep-2017","EQ","2,619.00","2,633.40","2,555.00","2,631.60","2,559.90","2,563.75","2,580.76","2,774.00","1,773.45","1,96,638","50,74,76,119.90","10,295"
"20-Sep-2017","EQ","2,688.00","2,690.00","2,618.70","2,672.00","2,618.70","2,631.60","2,645.18","2,774.00","1,773.45","1,51,197","39,99,43,021.05","8,199"
"19-Sep-2017","EQ","2,672.80","2,722.95","2,663.55","2,668.80","2,672.10","2,672.00","2,699.70","2,774.00","1,773.45","2,80,868","75,82,58,014.00","14,582"
"18-Sep-2017","EQ","2,655.80","2,700.00","2,638.50","2,649.05","2,667.00","2,668.80","2,675.71","2,774.00","1,773.45","2,30,000","61,54,13,193.00","13,186"
"15-Sep-2017","EQ","2,622.80","2,675.00","2,611.00","2,627.90","2,640.05","2,649.05","2,645.95","2,774.00","1,773.45","3,75,104","99,25,06,342.00","28,023"
"14-Sep-2017","EQ","2,676.00","2,692.30","2,621.00","2,656.20","2,625.00","2,627.90","2,649.88","2,774.00","1,773.45","2,00,853","53,22,37,177.15","11,911"
"13-Sep-2017","EQ","2,604.00","2,699.90","2,603.00","2,604.10","2,655.55","2,656.20","2,655.89","2,774.00","1,773.45","5,23,088","1,38,92,65,770.00","24,472"
"12-Sep-2017","EQ","2,590.00","2,625.00","2,558.25","2,581.10","2,620.00","2,604.10","2,586.30","2,774.00","1,773.45","1,69,585","43,85,97,994.20","14,348"
"11-Sep-2017","EQ","2,551.00","2,612.45","2,551.00","2,536.15","2,586.00","2,581.10","2,587.96","2,774.00","1,773.45","4,14,469","1,07,26,28,868.90","28,444"
"08-Sep-2017","EQ","2,548.80","2,558.95","2,521.10","2,538.70","2,528.20","2,536.15","2,541.95","2,774.00","1,773.45","2,48,990","63,29,19,540.40","18,661"
"07-Sep-2017","EQ","2,540.35","2,604.95","2,525.45","2,539.35","2,535.00","2,538.70","2,545.62","2,774.00","1,773.45","1,85,938","47,33,27,531.10","12,861"
"06-Sep-2017","EQ","2,551.50","2,560.00","2,528.25","2,559.50","2,538.00","2,539.35","2,540.90","2,774.00","1,773.45","2,62,099","66,59,68,594.55","13,204"
"05-Sep-2017","EQ","2,600.00","2,640.00","2,552.20","2,570.85","2,561.00","2,559.50","2,570.56","2,774.00","1,773.45","2,49,936","64,24,75,320.65","14,521"
"04-Sep-2017","EQ","2,546.00","2,655.00","2,545.95","2,550.30","2,570.00","2,570.85","2,595.74","2,774.00","1,773.45","7,24,685","1,88,10,91,989.45","36,562"
"01-Sep-2017","EQ","2,551.00","2,565.45","2,541.20","2,542.90","2,543.80","2,550.30","2,555.02","2,774.00","1,773.45","1,67,022","42,67,44,541.65","14,492"
"31-Aug-2017","EQ","2,558.70","2,575.00","2,534.15","2,555.55","2,539.90","2,542.90","2,548.45","2,774.00","1,773.45","4,98,977","1,27,16,18,552.70","30,159"
"30-Aug-2017","EQ","2,575.10","2,584.00","2,546.10","2,563.55","2,546.30","2,555.55","2,565.29","2,774.00","1,773.45","1,61,317","41,38,25,088.90","10,251"
"29-Aug-2017","EQ","2,564.00","2,579.00","2,525.00","2,571.80","2,554.00","2,563.55","2,557.75","2,774.00","1,773.45","2,59,188","66,29,38,016.10","13,007"
"28-Aug-2017","EQ","2,583.70","2,596.90","2,552.00","2,567.15","2,568.00","2,571.80","2,574.91","2,774.00","1,773.45","3,30,962","85,21,95,727.15","23,450"
"24-Aug-2017","EQ","2,525.00","2,608.00","2,525.00","2,469.45","2,565.25","2,567.15","2,574.69","2,774.00","1,773.45","8,36,932","2,15,48,40,875.10","36,771"
"23-Aug-2017","EQ","2,504.00","2,509.70","2,452.05","2,492.60","2,468.00","2,469.45","2,468.69","2,774.00","1,773.45","1,92,428","47,50,45,708.65","11,528"
"22-Aug-2017","EQ","2,539.00","2,551.80","2,482.00","2,532.60","2,502.20","2,492.60","2,512.49","2,774.00","1,773.45","1,36,863","34,38,67,250.50","7,467"
"21-Aug-2017","EQ","2,606.85","2,644.80","2,513.30","2,601.90","2,513.30","2,532.60","2,579.41","2,774.00","1,773.45","2,23,696","57,70,02,914.90","9,813"
"18-Aug-2017","EQ","2,592.00","2,620.00","2,565.05","2,601.40","2,604.65","2,601.90","2,586.37","2,774.00","1,773.45","2,16,099","55,89,12,004.30","11,902"
"17-Aug-2017","EQ","2,550.10","2,634.80","2,543.75","2,548.45","2,615.65","2,601.40","2,601.45","2,774.00","1,773.45","5,17,454","1,34,61,28,968.90","26,150"
"16-Aug-2017","EQ","2,491.00","2,556.95","2,484.20","2,474.95","2,555.00","2,548.45","2,528.70","2,774.00","1,773.45","2,14,620","54,27,09,635.25","12,083"
"14-Aug-2017","EQ","2,454.00","2,501.85","2,427.60","2,418.80","2,489.95","2,474.95","2,463.70","2,774.00","1,773.45","2,76,421","68,10,18,584.05","14,052"
"11-Aug-2017","EQ","2,451.10","2,513.00","2,415.00","2,490.80","2,420.00","2,418.80","2,450.80","2,774.00","1,773.45","5,65,996","1,38,71,41,551.65","23,093"
"10-Aug-2017","EQ","2,535.95","2,550.00","2,448.00","2,535.95","2,494.00","2,490.80","2,495.71","2,774.00","1,773.45","4,98,106","1,24,31,30,224.75","15,542"
"09-Aug-2017","EQ","2,546.95","2,569.65","2,525.00","2,548.20","2,525.00","2,535.95","2,543.33","2,774.00","1,773.45","2,14,981","54,67,66,626.95","10,746"
"08-Aug-2017","EQ","2,576.40","2,601.95","2,540.00","2,573.20","2,555.00","2,548.20","2,557.05","2,774.00","1,773.45","2,50,284","63,99,88,500.70","12,974"
"07-Aug-2017","EQ","2,599.00","2,624.90","2,562.00","2,596.10","2,567.00","2,573.20","2,586.31","2,774.00","1,773.45","2,71,272","70,15,94,026.45","13,666"
"04-Aug-2017","EQ","2,612.00","2,648.55","2,574.00","2,611.70","2,597.00","2,596.10","2,610.05","2,774.00","1,773.45","3,08,833","80,60,68,239.55","11,310"
"03-Aug-2017","EQ","2,603.60","2,657.90","2,593.55","2,598.30","2,614.00","2,611.70","2,634.75","2,774.00","1,773.45","4,35,511","1,14,74,62,386.05","24,813"
"02-Aug-2017","EQ","2,650.00","2,659.80","2,587.20","2,643.55","2,593.00","2,598.30","2,619.24","2,774.00","1,773.45","4,91,049","1,28,61,75,763.15","28,931"
"01-Aug-2017","EQ","2,540.00","2,651.00","2,525.00","2,535.70","2,643.35","2,643.55","2,611.57","2,774.00","1,773.45","6,33,610","1,65,47,13,711.25","29,858"
"31-Jul-2017","EQ","2,572.80","2,577.95","2,525.00","2,560.10","2,533.60","2,535.70","2,537.84","2,774.00","1,773.45","2,53,196","64,25,71,872.25","16,547"
"28-Jul-2017","EQ","2,550.05","2,598.00","2,540.05","2,545.80","2,560.00","2,560.10","2,562.62","2,774.00","1,773.45","4,25,430","1,09,02,17,547.05","16,482"
"27-Jul-2017","EQ","2,587.60","2,611.50","2,530.00","2,572.45","2,560.00","2,545.80","2,564.70","2,774.00","1,773.45","3,41,260","87,52,28,694.50","21,125"
"26-Jul-2017","EQ","2,599.70","2,602.95","2,566.00","2,596.25","2,570.00","2,572.45","2,581.69","2,774.00","1,773.45","3,17,779","82,04,06,681.25","15,750"
"25-Jul-2017","EQ","2,633.00","2,657.40","2,566.20","2,641.65","2,597.00","2,596.25","2,591.44","2,774.00","1,773.45","8,47,622","2,19,65,59,222.20","52,984"
"24-Jul-2017","EQ","2,705.00","2,727.95","2,619.00","2,704.70","2,652.10","2,641.65","2,665.03","2,774.00","1,773.45","5,19,944","1,38,56,64,436.35","27,429"
"21-Jul-2017","EQ","2,704.40","2,740.00","2,653.00","2,697.90","2,732.50","2,704.70","2,681.90","2,774.00","1,773.45","4,26,345","1,14,34,15,711.95","19,546"
"20-Jul-2017","EQ","2,731.00","2,754.90","2,686.70","2,734.50","2,686.70","2,697.90","2,719.54","2,774.00","1,773.45","2,31,562","62,97,42,429.55","11,883"
"19-Jul-2017","EQ","2,738.00","2,774.00","2,722.20","2,731.60","2,730.00","2,734.50","2,744.31","2,774.00","1,773.45","3,02,324","82,96,70,193.15","17,593"
"18-Jul-2017","EQ","2,739.00","2,753.95","2,719.20","2,755.25","2,733.00","2,731.60","2,731.29","2,769.90","1,773.45","3,17,149","86,62,24,818.30","22,381"
"17-Jul-2017","EQ","2,670.00","2,769.90","2,669.95","2,670.30","2,757.00","2,755.25","2,738.70","2,769.90","1,773.45","8,83,417","2,41,94,16,028.50","42,209"
"14-Jul-2017","EQ","2,655.00","2,701.00","2,651.55","2,654.25","2,670.00","2,670.30","2,671.31","2,701.00","1,773.45","3,47,684","92,87,73,248.45","16,112"
"13-Jul-2017","EQ","2,685.00","2,688.00","2,638.15","2,673.85","2,660.00","2,654.25","2,660.26","2,688.00","1,773.45","3,41,301","90,79,50,133.95","23,750"
"12-Jul-2017","EQ","2,680.00","2,687.35","2,653.00","2,639.80","2,675.35","2,673.85","2,670.68","2,687.35","1,773.45","4,69,831","1,25,47,69,839.55","24,010"
"11-Jul-2017","EQ","2,660.05","2,679.95","2,617.05","2,637.95","2,639.25","2,639.80","2,658.86","2,679.95","1,773.45","5,19,453","1,38,11,54,783.05","26,067"
"10-Jul-2017","EQ","2,648.00","2,648.00","2,360.50","2,622.50","2,644.00","2,637.95","2,629.23","2,674.00","1,773.45","83,437","21,93,75,326.75","3,757"
"07-Jul-2017","EQ","2,540.05","2,651.90","2,540.05","2,554.95","2,626.00","2,622.50","2,612.96","2,698.70","1,773.45","9,38,096","2,45,12,11,157.05","42,639"
"06-Jul-2017","EQ","2,604.95","2,630.00","2,545.00","2,595.15","2,555.00","2,554.95","2,581.17","2,698.70","1,773.45","6,88,626","1,77,74,60,318.15","35,872"
"05-Jul-2017","EQ","2,566.00","2,604.00","2,535.20","2,524.15","2,602.05","2,595.15","2,583.20","2,698.70","1,773.45","11,09,331","2,86,56,20,951.40","47,805"
